id,title,company,location,date_posted,job_type,interval,min_amount,max_amount,currency,is_remote,company_industry,city,seniority,year_exp,education,description
632,Data Engineer,Meta,Berlin,2025-08-13,internship,yearly,104517,158472,EUR,True,Finance,Paris,lead,4,master,"Lead a high-impact team at Meta in Berlin. Develop ETL workflows using modern orchestration tools such as Airflow or dbt. Maintain cloud-based data infrastructure on AWS, GCP, or Azure. Ensure data reliability, lineage, and governance across the organization."
633,ML Engineer,Google,Paris,2025-12-13,full-time,yearly,41009,45364,EUR,False,Tech,Berlin,junior,3,phd,Join Google in Paris as a junior team member. Develop end-to-end machine learning systems from data ingestion to model serving. Optimize model latency and throughput to meet production SLA requirements. Implement CI/CD pipelines for automated model training and deployment.
634,AI Researcher,BNP Paribas,London,2025-04-24,internship,yearly,35831,55199,EUR,True,Industrial,Berlin,junior,0,phd,"Join BNP Paribas in London as a junior team member. Conduct original research on deep learning, NLP, or computer vision to advance the state of the art. Publish findings in top-tier academic venues and open-source key contributions. Collaborate with applied teams to transfer research breakthroughs into real products."
635,Data Scientist,Google,New York,2025-07-04,internship,yearly,37464,46853,EUR,False,Consulting,London,junior,5,bachelor,"Join Google in New York as a junior team member. Design and implement machine learning pipelines to solve complex business problems. Perform exploratory data analysis, feature engineering, and model evaluation. Present results to stakeholders and drive data-informed decision making."
636,Data Analyst,BNP Paribas,New York,2026-02-20,part-time,yearly,106672,131684,EUR,False,Finance,London,lead,11,phd,"Lead a high-impact team at BNP Paribas in New York. Own analytical deep-dives across key business areas including growth, retention, and revenue. Maintain data documentation and ensure consistency of metrics across teams. Proactively surface insights that influence product roadmap and operational priorities."
637,Data Engineer,Meta,London,2025-07-04,internship,yearly,1926,2978,USD,True,Consulting,London,intern,3,unknown,"As an intern at Meta in London, you will Architect and implement real-time and batch data processing systems at scale. Partner with software engineers to integrate data systems into core products. Define best practices for data modeling, testing, and pipeline observability."
638,ML Engineer,Amazon,Berlin,2025-10-30,full-time,yearly,36425,48831,USD,True,Consulting,New York,junior,9,bachelor,Join Amazon in Berlin as a junior team member. Develop end-to-end machine learning systems from data ingestion to model serving. Optimize model latency and throughput to meet production SLA requirements. Implement CI/CD pipelines for automated model training and deployment.
639,Data Engineer,BNP Paribas,Madrid,2025-09-04,part-time,yearly,40230,57580,EUR,False,Tech,Berlin,junior,5,phd,"Join BNP Paribas in Madrid as a junior team member. Develop ETL workflows using modern orchestration tools such as Airflow or dbt. Maintain cloud-based data infrastructure on AWS, GCP, or Azure. Ensure data reliability, lineage, and governance across the organization."
640,Data Scientist,Microsoft,Berlin,2026-02-20,full-time,yearly,94910,133552,EUR,False,Tech,London,lead,10,unknown,"Lead a high-impact team at Microsoft in Berlin. Design and implement machine learning pipelines to solve complex business problems. Perform exploratory data analysis, feature engineering, and model evaluation. Present results to stakeholders and drive data-informed decision making."
641,ML Engineer,Microsoft,Madrid,2025-11-21,part-time,yearly,100967,120988,GBP,False,Finance,Berlin,lead,1,unknown,"Lead a high-impact team at Microsoft in Madrid. Train, evaluate, and deploy machine learning models in scalable production environments. Build ML infrastructure including feature stores, model registries, and serving APIs. Work closely with researchers to bridge the gap between experimentation and deployment."
642,Data Analyst,Microsoft,Paris,2025-09-28,part-time,yearly,108935,149511,EUR,True,Finance,Berlin,lead,5,phd,"Lead a high-impact team at Microsoft in Paris. Analyze business data to identify trends, patterns, and actionable opportunities. Build dashboards and reports using tools such as Tableau, Looker, or Power BI. Partner with business stakeholders to define KPIs and measure initiative performance."
643,AI Researcher,BNP Paribas,London,2025-11-04,full-time,yearly,106206,127274,EUR,False,Industrial,Berlin,lead,0,master,"Lead a high-impact team at BNP Paribas in London. Conduct original research on deep learning, NLP, or computer vision to advance the state of the art. Publish findings in top-tier academic venues and open-source key contributions. Collaborate with applied teams to transfer research breakthroughs into real products."
644,Data Engineer,Amazon,Berlin,2025-06-23,part-time,yearly,73297,83389,GBP,False,Finance,New York,senior,3,phd,"We are looking for a senior Data Engineer at Amazon (Berlin). Architect and implement real-time and batch data processing systems at scale. Partner with software engineers to integrate data systems into core products. Define best practices for data modeling, testing, and pipeline observability."
645,Data Scientist,Amazon,Berlin,2025-09-03,part-time,yearly,43173,57069,USD,True,Industrial,Berlin,junior,6,phd,Join Amazon in Berlin as a junior team member. Develop statistical models and ML algorithms to support product and growth initiatives. Work cross-functionally with data engineers to ensure data quality and availability. Monitor model performance in production and iterate based on real-world feedback.
646,Data Analyst,Meta,Madrid,2025-09-13,part-time,yearly,847,2150,USD,False,Industrial,London,intern,12,master,"As an intern at Meta in Madrid, you will Analyze business data to identify trends, patterns, and actionable opportunities. Build dashboards and reports using tools such as Tableau, Looker, or Power BI. Partner with business stakeholders to define KPIs and measure initiative performance."
647,Data Analyst,BNP Paribas,Paris,2025-06-06,full-time,yearly,115806,125880,USD,True,Industrial,London,lead,2,bachelor,"Lead a high-impact team at BNP Paribas in Paris. Own analytical deep-dives across key business areas including growth, retention, and revenue. Maintain data documentation and ensure consistency of metrics across teams. Proactively surface insights that influence product roadmap and operational priorities."
648,AI Researcher,BNP Paribas,Paris,2025-12-06,internship,yearly,35513,46054,EUR,True,Industrial,Madrid,junior,10,bachelor,"Join BNP Paribas in Paris as a junior team member. Explore novel model architectures and training methods to push performance boundaries. Design rigorous experiments, analyze results, and iterate on hypotheses rapidly. Stay current with the latest literature and contribute new ideas to the research community."
649,Data Engineer,Meta,Paris,2025-06-30,internship,yearly,101327,120033,USD,True,Finance,New York,lead,11,phd,"Lead a high-impact team at Meta in Paris. Build and maintain scalable data pipelines to collect, transform, and store large volumes of data. Design data warehouse schemas and optimize query performance for analytical workloads. Collaborate with data scientists and analysts to ensure reliable data availability."
650,ML Engineer,BNP Paribas,Madrid,2025-07-14,full-time,yearly,111057,124123,EUR,False,Finance,New York,lead,12,unknown,"Lead a high-impact team at BNP Paribas in Madrid. Train, evaluate, and deploy machine learning models in scalable production environments. Build ML infrastructure including feature stores, model registries, and serving APIs. Work closely with researchers to bridge the gap between experimentation and deployment."
651,Data Analyst,Microsoft,Paris,2025-06-25,full-time,yearly,74616,102305,EUR,False,Finance,Berlin,senior,3,master,We are looking for a senior Data Analyst at Microsoft (Paris). Translate complex data into clear narratives that drive strategic decisions. Write SQL queries and Python scripts to aggregate and clean large datasets. Collaborate with product and marketing teams on A/B test analysis and reporting.
652,Data Scientist,Airbus,New York,2025-06-15,part-time,yearly,1138,2106,GBP,True,Industrial,Paris,intern,0,unknown,"As an intern at Airbus in New York, you will Develop statistical models and ML algorithms to support product and growth initiatives. Work cross-functionally with data engineers to ensure data quality and availability. Monitor model performance in production and iterate based on real-world feedback."
653,ML Engineer,Airbus,Berlin,2025-10-18,full-time,yearly,91366,149133,USD,False,Consulting,Berlin,lead,8,bachelor,Lead a high-impact team at Airbus in Berlin. Design robust ML platforms that enable rapid experimentation and reliable deployment. Collaborate with data scientists to productionize models at scale. Monitor model drift and maintain model quality in live systems.
654,Data Engineer,Amazon,Paris,2025-12-31,part-time,yearly,38014,52805,GBP,True,Consulting,Madrid,junior,11,unknown,"Join Amazon in Paris as a junior team member. Develop ETL workflows using modern orchestration tools such as Airflow or dbt. Maintain cloud-based data infrastructure on AWS, GCP, or Azure. Ensure data reliability, lineage, and governance across the organization."
655,Data Scientist,Meta,Berlin,2025-05-11,internship,yearly,35820,59788,EUR,False,Finance,London,junior,0,phd,"Join Meta in Berlin as a junior team member. Design and implement machine learning pipelines to solve complex business problems. Perform exploratory data analysis, feature engineering, and model evaluation. Present results to stakeholders and drive data-informed decision making."
656,Data Engineer,Amazon,Paris,2025-10-06,part-time,yearly,42566,56863,EUR,True,Finance,London,junior,0,phd,"Join Amazon in Paris as a junior team member. Build and maintain scalable data pipelines to collect, transform, and store large volumes of data. Design data warehouse schemas and optimize query performance for analytical workloads. Collaborate with data scientists and analysts to ensure reliable data availability."
657,ML Engineer,Airbus,London,2026-02-10,full-time,yearly,66670,82347,USD,True,Finance,London,senior,6,master,We are looking for a senior ML Engineer at Airbus (London). Develop end-to-end machine learning systems from data ingestion to model serving. Optimize model latency and throughput to meet production SLA requirements. Implement CI/CD pipelines for automated model training and deployment.
658,Data Analyst,Google,New York,2025-11-06,internship,yearly,1599,2625,USD,False,Tech,New York,intern,10,unknown,"As an intern at Google in New York, you will Own analytical deep-dives across key business areas including growth, retention, and revenue. Maintain data documentation and ensure consistency of metrics across teams. Proactively surface insights that influence product roadmap and operational priorities."
659,AI Researcher,BNP Paribas,Berlin,2025-12-20,full-time,yearly,71599,109489,USD,True,Finance,London,senior,2,phd,"We are looking for a senior AI Researcher at BNP Paribas (Berlin). Conduct original research on deep learning, NLP, or computer vision to advance the state of the art. Publish findings in top-tier academic venues and open-source key contributions. Collaborate with applied teams to transfer research breakthroughs into real products."
660,AI Researcher,BNP Paribas,New York,2025-09-18,full-time,yearly,93238,129189,USD,False,Consulting,Madrid,lead,0,unknown,Lead a high-impact team at BNP Paribas in New York. Lead research projects on foundational AI topics aligned with long-term product goals. Mentor junior researchers and foster a culture of intellectual curiosity. Engage with external academic partners and represent the company at conferences.
661,Data Engineer,Meta,Madrid,2025-04-24,full-time,yearly,1260,2455,EUR,False,Finance,New York,intern,4,phd,"As an intern at Meta in Madrid, you will Architect and implement real-time and batch data processing systems at scale. Partner with software engineers to integrate data systems into core products. Define best practices for data modeling, testing, and pipeline observability."
662,Data Scientist,Airbus,Madrid,2026-02-25,part-time,yearly,1060,2393,USD,False,Tech,New York,intern,9,bachelor,"As an intern at Airbus in Madrid, you will Develop statistical models and ML algorithms to support product and growth initiatives. Work cross-functionally with data engineers to ensure data quality and availability. Monitor model performance in production and iterate based on real-world feedback."
663,Data Analyst,BNP Paribas,Berlin,2025-05-08,part-time,yearly,100862,145576,GBP,False,Consulting,New York,lead,12,bachelor,"Lead a high-impact team at BNP Paribas in Berlin. Analyze business data to identify trends, patterns, and actionable opportunities. Build dashboards and reports using tools such as Tableau, Looker, or Power BI. Partner with business stakeholders to define KPIs and measure initiative performance."
664,AI Researcher,Amazon,New York,2025-12-02,part-time,yearly,69956,92068,EUR,False,Finance,Paris,senior,12,unknown,We are looking for a senior AI Researcher at Amazon (New York). Lead research projects on foundational AI topics aligned with long-term product goals. Mentor junior researchers and foster a culture of intellectual curiosity. Engage with external academic partners and represent the company at conferences.
665,Data Analyst,Google,Paris,2026-01-06,internship,yearly,119154,146614,GBP,False,Tech,New York,lead,8,unknown,Lead a high-impact team at Google in Paris. Translate complex data into clear narratives that drive strategic decisions. Write SQL queries and Python scripts to aggregate and clean large datasets. Collaborate with product and marketing teams on A/B test analysis and reporting.
666,AI Researcher,Google,Paris,2025-04-18,part-time,yearly,97103,151324,USD,False,Industrial,Madrid,lead,10,unknown,"Lead a high-impact team at Google in Paris. Explore novel model architectures and training methods to push performance boundaries. Design rigorous experiments, analyze results, and iterate on hypotheses rapidly. Stay current with the latest literature and contribute new ideas to the research community."
667,AI Researcher,Amazon,Madrid,2025-12-22,part-time,yearly,34708,46293,GBP,False,Consulting,Paris,junior,9,master,"Join Amazon in Madrid as a junior team member. Conduct original research on deep learning, NLP, or computer vision to advance the state of the art. Publish findings in top-tier academic venues and open-source key contributions. Collaborate with applied teams to transfer research breakthroughs into real products."
668,Data Engineer,Airbus,New York,2025-08-07,internship,yearly,1223,2531,USD,False,Consulting,New York,intern,6,unknown,"As an intern at Airbus in New York, you will Architect and implement real-time and batch data processing systems at scale. Partner with software engineers to integrate data systems into core products. Define best practices for data modeling, testing, and pipeline observability."
669,Data Scientist,Amazon,Paris,2025-12-19,full-time,yearly,34164,53587,EUR,False,Industrial,New York,junior,12,bachelor,Join Amazon in Paris as a junior team member. Develop statistical models and ML algorithms to support product and growth initiatives. Work cross-functionally with data engineers to ensure data quality and availability. Monitor model performance in production and iterate based on real-world feedback.
670,Data Scientist,Microsoft,New York,2025-04-26,full-time,yearly,38009,58934,EUR,False,Industrial,Paris,junior,10,unknown,Join Microsoft in New York as a junior team member. Develop statistical models and ML algorithms to support product and growth initiatives. Work cross-functionally with data engineers to ensure data quality and availability. Monitor model performance in production and iterate based on real-world feedback.
671,ML Engineer,Airbus,Berlin,2026-01-17,full-time,yearly,39198,59407,USD,True,Finance,Berlin,junior,11,phd,Join Airbus in Berlin as a junior team member. Design robust ML platforms that enable rapid experimentation and reliable deployment. Collaborate with data scientists to productionize models at scale. Monitor model drift and maintain model quality in live systems.
672,ML Engineer,Meta,London,2025-08-09,part-time,yearly,1496,2734,USD,True,Tech,Madrid,intern,8,master,"As an intern at Meta in London, you will Develop end-to-end machine learning systems from data ingestion to model serving. Optimize model latency and throughput to meet production SLA requirements. Implement CI/CD pipelines for automated model training and deployment."
673,Data Scientist,Google,New York,2026-04-04,full-time,yearly,119328,126730,USD,False,Consulting,London,lead,1,unknown,Lead a high-impact team at Google in New York. Apply statistical modeling and machine learning to extract insights from large datasets. Collaborate with engineering and product teams to deploy predictive models into production. Communicate findings clearly through data visualizations and business recommendations.
674,Data Engineer,Google,Berlin,2025-12-25,internship,yearly,31347,46222,EUR,True,Consulting,Madrid,junior,10,master,"Join Google in Berlin as a junior team member. Architect and implement real-time and batch data processing systems at scale. Partner with software engineers to integrate data systems into core products. Define best practices for data modeling, testing, and pipeline observability."
675,Data Analyst,Meta,London,2025-07-31,internship,yearly,1884,2502,GBP,False,Consulting,Berlin,intern,10,master,"As an intern at Meta in London, you will Own analytical deep-dives across key business areas including growth, retention, and revenue. Maintain data documentation and ensure consistency of metrics across teams. Proactively surface insights that influence product roadmap and operational priorities."
676,ML Engineer,Google,London,2025-07-11,full-time,yearly,35495,57729,GBP,True,Tech,New York,junior,11,phd,"Join Google in London as a junior team member. Train, evaluate, and deploy machine learning models in scalable production environments. Build ML infrastructure including feature stores, model registries, and serving APIs. Work closely with researchers to bridge the gap between experimentation and deployment."
677,ML Engineer,Airbus,Paris,2026-02-04,internship,yearly,72273,103364,EUR,True,Tech,New York,senior,6,bachelor,We are looking for a senior ML Engineer at Airbus (Paris). Design robust ML platforms that enable rapid experimentation and reliable deployment. Collaborate with data scientists to productionize models at scale. Monitor model drift and maintain model quality in live systems.
678,AI Researcher,BNP Paribas,London,2025-12-21,part-time,yearly,91444,141621,EUR,False,Consulting,New York,lead,9,phd,"Lead a high-impact team at BNP Paribas in London. Explore novel model architectures and training methods to push performance boundaries. Design rigorous experiments, analyze results, and iterate on hypotheses rapidly. Stay current with the latest literature and contribute new ideas to the research community."
679,Data Engineer,BNP Paribas,Madrid,2025-10-16,internship,yearly,65531,107825,EUR,True,Consulting,New York,senior,1,bachelor,"We are looking for a senior Data Engineer at BNP Paribas (Madrid). Architect and implement real-time and batch data processing systems at scale. Partner with software engineers to integrate data systems into core products. Define best practices for data modeling, testing, and pipeline observability."
680,Data Scientist,Amazon,New York,2025-08-28,full-time,yearly,44252,45523,GBP,False,Industrial,Paris,junior,11,unknown,"Join Amazon in New York as a junior team member. Design and implement machine learning pipelines to solve complex business problems. Perform exploratory data analysis, feature engineering, and model evaluation. Present results to stakeholders and drive data-informed decision making."
681,Data Scientist,Microsoft,Madrid,2025-11-27,part-time,yearly,1192,2033,GBP,False,Consulting,London,intern,3,unknown,"As an intern at Microsoft in Madrid, you will Design and implement machine learning pipelines to solve complex business problems. Perform exploratory data analysis, feature engineering, and model evaluation. Present results to stakeholders and drive data-informed decision making."
682,Data Engineer,Microsoft,London,2025-11-08,part-time,yearly,111376,145947,GBP,False,Consulting,New York,lead,5,phd,"Lead a high-impact team at Microsoft in London. Develop ETL workflows using modern orchestration tools such as Airflow or dbt. Maintain cloud-based data infrastructure on AWS, GCP, or Azure. Ensure data reliability, lineage, and governance across the organization."
683,Data Analyst,BNP Paribas,Berlin,2026-01-26,internship,yearly,117135,129004,EUR,False,Finance,Madrid,lead,9,master,Lead a high-impact team at BNP Paribas in Berlin. Translate complex data into clear narratives that drive strategic decisions. Write SQL queries and Python scripts to aggregate and clean large datasets. Collaborate with product and marketing teams on A/B test analysis and reporting.
684,Data Analyst,Microsoft,Madrid,2025-08-15,internship,yearly,71215,103830,GBP,True,Finance,Madrid,senior,4,phd,"We are looking for a senior Data Analyst at Microsoft (Madrid). Own analytical deep-dives across key business areas including growth, retention, and revenue. Maintain data documentation and ensure consistency of metrics across teams. Proactively surface insights that influence product roadmap and operational priorities."
685,ML Engineer,Amazon,Madrid,2026-01-16,internship,yearly,109781,128460,USD,False,Finance,New York,lead,10,unknown,Lead a high-impact team at Amazon in Madrid. Design robust ML platforms that enable rapid experimentation and reliable deployment. Collaborate with data scientists to productionize models at scale. Monitor model drift and maintain model quality in live systems.
686,Data Engineer,Google,Paris,2025-09-24,part-time,yearly,991,2752,EUR,False,Tech,Berlin,intern,0,phd,"As an intern at Google in Paris, you will Develop ETL workflows using modern orchestration tools such as Airflow or dbt. Maintain cloud-based data infrastructure on AWS, GCP, or Azure. Ensure data reliability, lineage, and governance across the organization."
687,ML Engineer,Meta,London,2025-06-07,full-time,yearly,63280,92154,USD,True,Tech,Madrid,senior,2,master,We are looking for a senior ML Engineer at Meta (London). Develop end-to-end machine learning systems from data ingestion to model serving. Optimize model latency and throughput to meet production SLA requirements. Implement CI/CD pipelines for automated model training and deployment.
688,AI Researcher,Google,New York,2025-07-23,part-time,yearly,106865,121792,GBP,True,Tech,Madrid,lead,9,bachelor,"Lead a high-impact team at Google in New York. Explore novel model architectures and training methods to push performance boundaries. Design rigorous experiments, analyze results, and iterate on hypotheses rapidly. Stay current with the latest literature and contribute new ideas to the research community."
689,Data Engineer,Google,New York,2026-03-27,full-time,yearly,96790,138665,GBP,False,Industrial,London,lead,5,phd,"Lead a high-impact team at Google in New York. Architect and implement real-time and batch data processing systems at scale. Partner with software engineers to integrate data systems into core products. Define best practices for data modeling, testing, and pipeline observability."
690,AI Researcher,Meta,London,2025-08-28,part-time,yearly,70488,90720,GBP,True,Finance,Paris,senior,4,bachelor,"We are looking for a senior AI Researcher at Meta (London). Conduct original research on deep learning, NLP, or computer vision to advance the state of the art. Publish findings in top-tier academic venues and open-source key contributions. Collaborate with applied teams to transfer research breakthroughs into real products."
691,Data Analyst,Amazon,Berlin,2025-04-28,internship,yearly,68851,90458,USD,True,Finance,Madrid,senior,9,unknown,"We are looking for a senior Data Analyst at Amazon (Berlin). Analyze business data to identify trends, patterns, and actionable opportunities. Build dashboards and reports using tools such as Tableau, Looker, or Power BI. Partner with business stakeholders to define KPIs and measure initiative performance."
692,ML Engineer,Microsoft,Paris,2025-11-19,part-time,yearly,105262,156390,GBP,True,Consulting,Berlin,lead,7,master,Lead a high-impact team at Microsoft in Paris. Develop end-to-end machine learning systems from data ingestion to model serving. Optimize model latency and throughput to meet production SLA requirements. Implement CI/CD pipelines for automated model training and deployment.
693,Data Analyst,Meta,London,2025-12-17,part-time,yearly,67761,83752,USD,True,Finance,London,senior,2,phd,"We are looking for a senior Data Analyst at Meta (London). Analyze business data to identify trends, patterns, and actionable opportunities. Build dashboards and reports using tools such as Tableau, Looker, or Power BI. Partner with business stakeholders to define KPIs and measure initiative performance."
694,Data Analyst,Airbus,Berlin,2025-07-29,full-time,yearly,112342,145777,EUR,False,Tech,Madrid,lead,6,master,Lead a high-impact team at Airbus in Berlin. Translate complex data into clear narratives that drive strategic decisions. Write SQL queries and Python scripts to aggregate and clean large datasets. Collaborate with product and marketing teams on A/B test analysis and reporting.
695,ML Engineer,Microsoft,Berlin,2026-01-11,full-time,yearly,40167,50696,USD,True,Tech,New York,junior,1,unknown,Join Microsoft in Berlin as a junior team member. Develop end-to-end machine learning systems from data ingestion to model serving. Optimize model latency and throughput to meet production SLA requirements. Implement CI/CD pipelines for automated model training and deployment.
696,AI Researcher,Microsoft,Madrid,2025-09-10,part-time,yearly,63778,101697,EUR,False,Consulting,New York,senior,4,master,"We are looking for a senior AI Researcher at Microsoft (Madrid). Conduct original research on deep learning, NLP, or computer vision to advance the state of the art. Publish findings in top-tier academic venues and open-source key contributions. Collaborate with applied teams to transfer research breakthroughs into real products."
697,Data Engineer,Microsoft,Paris,2026-02-04,part-time,yearly,39227,48389,USD,False,Industrial,New York,junior,3,master,"Join Microsoft in Paris as a junior team member. Build and maintain scalable data pipelines to collect, transform, and store large volumes of data. Design data warehouse schemas and optimize query performance for analytical workloads. Collaborate with data scientists and analysts to ensure reliable data availability."
698,Data Analyst,BNP Paribas,Madrid,2025-12-24,internship,yearly,72089,95256,GBP,True,Industrial,Berlin,senior,12,phd,We are looking for a senior Data Analyst at BNP Paribas (Madrid). Translate complex data into clear narratives that drive strategic decisions. Write SQL queries and Python scripts to aggregate and clean large datasets. Collaborate with product and marketing teams on A/B test analysis and reporting.
699,Data Analyst,Airbus,Madrid,2025-09-13,part-time,yearly,1777,2988,USD,False,Industrial,New York,intern,3,unknown,"As an intern at Airbus in Madrid, you will Own analytical deep-dives across key business areas including growth, retention, and revenue. Maintain data documentation and ensure consistency of metrics across teams. Proactively surface insights that influence product roadmap and operational priorities."
700,Data Analyst,Microsoft,Madrid,2026-03-28,internship,yearly,65044,91431,USD,True,Tech,Paris,senior,4,master,"We are looking for a senior Data Analyst at Microsoft (Madrid). Analyze business data to identify trends, patterns, and actionable opportunities. Build dashboards and reports using tools such as Tableau, Looker, or Power BI. Partner with business stakeholders to define KPIs and measure initiative performance."
701,ML Engineer,Google,New York,2026-04-01,part-time,yearly,36085,56578,EUR,True,Industrial,Berlin,junior,9,phd,Join Google in New York as a junior team member. Develop end-to-end machine learning systems from data ingestion to model serving. Optimize model latency and throughput to meet production SLA requirements. Implement CI/CD pipelines for automated model training and deployment.
702,Data Engineer,Meta,New York,2025-10-16,internship,yearly,1730,2682,USD,False,Consulting,Madrid,intern,4,unknown,"As an intern at Meta in New York, you will Architect and implement real-time and batch data processing systems at scale. Partner with software engineers to integrate data systems into core products. Define best practices for data modeling, testing, and pipeline observability."
703,ML Engineer,Amazon,London,2025-11-01,full-time,yearly,75465,101331,USD,True,Consulting,Paris,senior,3,phd,"We are looking for a senior ML Engineer at Amazon (London). Train, evaluate, and deploy machine learning models in scalable production environments. Build ML infrastructure including feature stores, model registries, and serving APIs. Work closely with researchers to bridge the gap between experimentation and deployment."
704,Data Scientist,BNP Paribas,Berlin,2025-11-01,full-time,yearly,1383,2341,EUR,True,Consulting,Berlin,intern,1,unknown,"As an intern at BNP Paribas in Berlin, you will Develop statistical models and ML algorithms to support product and growth initiatives. Work cross-functionally with data engineers to ensure data quality and availability. Monitor model performance in production and iterate based on real-world feedback."
705,Data Engineer,BNP Paribas,London,2026-03-19,part-time,yearly,64212,91655,GBP,False,Finance,London,senior,7,master,"We are looking for a senior Data Engineer at BNP Paribas (London). Develop ETL workflows using modern orchestration tools such as Airflow or dbt. Maintain cloud-based data infrastructure on AWS, GCP, or Azure. Ensure data reliability, lineage, and governance across the organization."
706,ML Engineer,Amazon,New York,2025-07-10,full-time,yearly,71044,104822,EUR,True,Finance,Berlin,senior,7,phd,We are looking for a senior ML Engineer at Amazon (New York). Design robust ML platforms that enable rapid experimentation and reliable deployment. Collaborate with data scientists to productionize models at scale. Monitor model drift and maintain model quality in live systems.
707,ML Engineer,Amazon,New York,2025-05-18,full-time,yearly,104080,152545,USD,False,Industrial,Madrid,lead,8,bachelor,Lead a high-impact team at Amazon in New York. Design robust ML platforms that enable rapid experimentation and reliable deployment. Collaborate with data scientists to productionize models at scale. Monitor model drift and maintain model quality in live systems.
708,AI Researcher,Amazon,Madrid,2025-08-18,internship,yearly,860,2076,USD,True,Consulting,New York,intern,6,master,"As an intern at Amazon in Madrid, you will Lead research projects on foundational AI topics aligned with long-term product goals. Mentor junior researchers and foster a culture of intellectual curiosity. Engage with external academic partners and represent the company at conferences."
709,ML Engineer,Meta,Berlin,2025-12-16,part-time,yearly,68334,92332,USD,True,Consulting,London,senior,6,unknown,"We are looking for a senior ML Engineer at Meta (Berlin). Train, evaluate, and deploy machine learning models in scalable production environments. Build ML infrastructure including feature stores, model registries, and serving APIs. Work closely with researchers to bridge the gap between experimentation and deployment."
710,ML Engineer,BNP Paribas,London,2025-04-15,full-time,yearly,1880,2126,GBP,False,Tech,New York,intern,9,bachelor,"As an intern at BNP Paribas in London, you will Design robust ML platforms that enable rapid experimentation and reliable deployment. Collaborate with data scientists to productionize models at scale. Monitor model drift and maintain model quality in live systems."
711,Data Engineer,Airbus,Madrid,2025-10-02,part-time,yearly,62583,106128,GBP,False,Finance,Paris,senior,8,phd,"We are looking for a senior Data Engineer at Airbus (Madrid). Architect and implement real-time and batch data processing systems at scale. Partner with software engineers to integrate data systems into core products. Define best practices for data modeling, testing, and pipeline observability."
712,ML Engineer,Airbus,Paris,2025-12-26,part-time,yearly,30593,55083,EUR,False,Tech,New York,junior,4,master,Join Airbus in Paris as a junior team member. Develop end-to-end machine learning systems from data ingestion to model serving. Optimize model latency and throughput to meet production SLA requirements. Implement CI/CD pipelines for automated model training and deployment.
713,Data Scientist,Microsoft,Paris,2025-08-02,full-time,yearly,115107,146912,EUR,False,Industrial,London,lead,12,phd,"Lead a high-impact team at Microsoft in Paris. Design and implement machine learning pipelines to solve complex business problems. Perform exploratory data analysis, feature engineering, and model evaluation. Present results to stakeholders and drive data-informed decision making."
714,AI Researcher,Google,Berlin,2026-01-15,full-time,yearly,42762,54027,USD,True,Finance,Madrid,junior,1,master,"Join Google in Berlin as a junior team member. Explore novel model architectures and training methods to push performance boundaries. Design rigorous experiments, analyze results, and iterate on hypotheses rapidly. Stay current with the latest literature and contribute new ideas to the research community."
715,Data Analyst,BNP Paribas,Berlin,2025-10-31,internship,yearly,35939,47923,GBP,True,Tech,Berlin,junior,0,unknown,"Join BNP Paribas in Berlin as a junior team member. Analyze business data to identify trends, patterns, and actionable opportunities. Build dashboards and reports using tools such as Tableau, Looker, or Power BI. Partner with business stakeholders to define KPIs and measure initiative performance."
716,AI Researcher,Microsoft,New York,2026-02-20,full-time,yearly,1527,2727,GBP,True,Consulting,Paris,intern,3,master,"As an intern at Microsoft in New York, you will Explore novel model architectures and training methods to push performance boundaries. Design rigorous experiments, analyze results, and iterate on hypotheses rapidly. Stay current with the latest literature and contribute new ideas to the research community."
717,Data Scientist,Meta,Berlin,2026-01-21,part-time,yearly,75156,102262,USD,False,Industrial,Paris,senior,9,unknown,"We are looking for a senior Data Scientist at Meta (Berlin). Design and implement machine learning pipelines to solve complex business problems. Perform exploratory data analysis, feature engineering, and model evaluation. Present results to stakeholders and drive data-informed decision making."
718,ML Engineer,Google,London,2025-07-06,part-time,yearly,110252,133157,GBP,True,Industrial,Berlin,lead,6,bachelor,Lead a high-impact team at Google in London. Develop end-to-end machine learning systems from data ingestion to model serving. Optimize model latency and throughput to meet production SLA requirements. Implement CI/CD pipelines for automated model training and deployment.
719,Data Engineer,Meta,Madrid,2025-07-31,part-time,yearly,97920,152112,EUR,True,Tech,Paris,lead,5,bachelor,"Lead a high-impact team at Meta in Madrid. Develop ETL workflows using modern orchestration tools such as Airflow or dbt. Maintain cloud-based data infrastructure on AWS, GCP, or Azure. Ensure data reliability, lineage, and governance across the organization."
720,Data Engineer,Amazon,New York,2026-02-23,part-time,yearly,75387,91996,USD,False,Industrial,Paris,senior,9,unknown,"We are looking for a senior Data Engineer at Amazon (New York). Architect and implement real-time and batch data processing systems at scale. Partner with software engineers to integrate data systems into core products. Define best practices for data modeling, testing, and pipeline observability."
721,AI Researcher,Google,New York,2025-09-05,full-time,yearly,99225,150497,GBP,True,Finance,Paris,lead,10,phd,"Lead a high-impact team at Google in New York. Conduct original research on deep learning, NLP, or computer vision to advance the state of the art. Publish findings in top-tier academic venues and open-source key contributions. Collaborate with applied teams to transfer research breakthroughs into real products."
